timestamp,user_id,service,amount
2025-10-26 07:48:57,user_028,user-service,86.69
2025-10-26 01:48:57,user_028,user-service,90.39
2025-10-25 20:29:57,user_007,notification-service,297.44
2025-10-26 14:54:57,user_047,payment-service,112.28
2025-10-26 01:58:57,user_024,user-service,66.29
2025-10-25 16:07:57,user_005,notification-service,249.19
2025-10-26 06:19:57,user_029,auth-service,170.39
2025-10-26 01:23:57,user_049,payment-service,147.64
2025-10-26 13:47:57,user_039,payment-service,7.79
2025-10-26 10:47:57,user_042,payment-service,397.32
2025-10-26 03:02:57,user_023,auth-service,421.01
2025-10-25 22:22:57,user_039,notification-service,489.79
2025-10-26 08:18:57,user_009,auth-service,68.95
2025-10-26 12:20:57,user_004,notification-service,287.01
2025-10-25 18:29:57,user_002,user-service,62.04
2025-10-26 04:33:57,user_007,user-service,72.89
2025-10-25 23:02:57,user_018,user-service,139.84
2025-10-26 02:35:57,user_047,notification-service,454.95
2025-10-26 14:45:57,user_033,user-service,129.72
2025-10-26 13:42:57,user_002,payment-service,414.29
2025-10-26 08:15:57,user_024,user-service,152.16
2025-10-25 18:25:57,user_040,user-service,264.48
2025-10-25 20:38:57,user_009,auth-service,99.13
2025-10-26 01:41:57,user_012,notification-service,357.11
2025-10-26 05:21:57,user_023,user-service,223.79
2025-10-26 14:10:57,user_025,notification-service,97.56
2025-10-26 15:12:57,user_037,notification-service,350.31
2025-10-25 21:23:57,user_010,auth-service,5.92
2025-10-25 16:54:57,user_048,notification-service,32.5
2025-10-26 00:49:57,user_002,user-service,443.12
2025-10-25 18:56:57,user_019,user-service,227.64
2025-10-25 15:30:57,user_044,payment-service,132.74
2025-10-25 18:22:57,user_019,auth-service,286.7
2025-10-26 05:19:57,user_039,auth-service,219.42
2025-10-26 04:42:57,user_007,auth-service,80.31
2025-10-26 14:17:57,user_047,payment-service,381.35
2025-10-25 20:49:57,user_036,payment-service,351.32
2025-10-25 18:35:57,user_037,auth-service,407.33
2025-10-26 07:42:57,user_030,user-service,448.77
2025-10-26 14:02:57,user_030,auth-service,56.3
2025-10-26 12:18:57,user_031,payment-service,321.82
2025-10-26 12:08:57,user_019,notification-service,215.43
2025-10-25 19:41:57,user_024,notification-service,175.85
2025-10-26 06:32:57,user_033,payment-service,144.03
2025-10-25 21:35:57,user_002,auth-service,498.28
2025-10-25 21:10:57,user_037,user-service,45.71
2025-10-26 13:52:57,user_033,user-service,188.34
2025-10-25 19:02:57,user_005,auth-service,218.58
2025-10-26 11:23:57,user_032,auth-service,150.24
2025-10-26 08:34:57,user_034,auth-service,458.97
2025-10-26 02:47:57,user_032,payment-service,386.84
2025-10-25 16:18:57,user_047,user-service,21.66
2025-10-26 05:06:57,user_036,auth-service,202.0
2025-10-25 23:46:57,user_020,payment-service,184.42
2025-10-26 01:31:57,user_008,payment-service,340.31
2025-10-25 23:55:57,user_035,user-service,67.2
2025-10-26 02:08:57,user_022,user-service,128.79
2025-10-26 03:14:57,user_016,payment-service,75.92
2025-10-25 15:20:57,user_024,user-service,84.82
2025-10-25 16:04:57,user_015,notification-service,215.63
2025-10-25 20:24:57,user_029,notification-service,17.74
2025-10-25 22:28:57,user_048,notification-service,195.77
2025-10-25 20:42:57,user_049,user-service,103.17
2025-10-25 21:00:57,user_039,payment-service,401.01
2025-10-25 18:58:57,user_046,auth-service,136.96
2025-10-26 06:37:57,user_022,user-service,397.32
2025-10-26 11:31:57,user_037,user-service,358.45
2025-10-25 17:20:57,user_016,user-service,315.88
2025-10-25 22:30:57,user_003,user-service,480.16
2025-10-26 04:48:57,user_019,payment-service,111.28
2025-10-26 15:01:57,user_043,payment-service,22.58
2025-10-25 16:01:57,user_025,user-service,126.82
2025-10-26 11:58:57,user_011,user-service,53.83
2025-10-26 09:55:57,user_026,user-service,340.22
2025-10-25 18:37:57,user_022,notification-service,55.61
2025-10-25 18:28:57,user_039,notification-service,246.95
2025-10-25 22:07:57,user_024,payment-service,419.71
2025-10-26 15:10:57,user_038,auth-service,111.43
2025-10-26 12:59:57,user_028,auth-service,399.3
2025-10-26 10:50:57,user_012,user-service,410.98
2025-10-26 05:45:57,user_043,payment-service,351.37
2025-10-26 07:54:57,user_005,notification-service,446.32
2025-10-25 19:36:57,user_025,user-service,492.94
2025-10-26 06:09:57,user_038,payment-service,491.04
2025-10-26 05:36:57,user_001,auth-service,342.44
2025-10-25 21:17:57,user_010,payment-service,361.64
2025-10-25 21:09:57,user_041,notification-service,466.97
2025-10-26 09:39:57,user_011,auth-service,14.98
2025-10-26 11:28:57,user_020,notification-service,232.94
2025-10-25 15:17:57,user_003,payment-service,108.22
2025-10-26 04:25:57,user_029,auth-service,285.99
2025-10-26 07:20:57,user_011,auth-service,329.43
2025-10-25 16:49:57,user_018,payment-service,265.24
2025-10-26 02:42:57,user_007,payment-service,46.06
2025-10-25 19:13:57,user_015,notification-service,310.46
2025-10-26 00:53:57,user_032,payment-service,210.91
2025-10-26 06:44:57,user_041,notification-service,83.7
2025-10-26 10:30:57,user_025,payment-service,319.75
2025-10-26 01:49:57,user_037,payment-service,411.75
2025-10-25 18:19:57,user_018,user-service,109.9
