timestamp,user_id,service,amount
2025-10-27 14:57:57,user_006,user-service,264.58
2025-10-27 02:15:57,user_002,user-service,47.54
2025-10-26 23:09:57,user_035,notification-service,438.2
2025-10-27 13:45:57,user_013,notification-service,184.74
2025-10-26 15:45:57,user_013,payment-service,454.93
2025-10-27 11:36:57,user_025,auth-service,271.3
2025-10-26 16:32:57,user_005,auth-service,331.51
2025-10-26 16:32:57,user_024,user-service,297.07
2025-10-26 16:42:57,user_040,notification-service,202.78
2025-10-27 07:40:57,user_043,payment-service,498.9
2025-10-26 23:15:57,user_034,notification-service,309.45
2025-10-26 23:52:57,user_033,user-service,268.4
2025-10-26 19:53:57,user_029,payment-service,428.86
2025-10-27 08:07:57,user_014,user-service,410.45
2025-10-26 21:51:57,user_033,auth-service,447.14
2025-10-27 01:49:57,user_044,notification-service,75.06
2025-10-26 22:12:57,user_020,notification-service,491.03
2025-10-26 18:07:57,user_001,user-service,65.24
2025-10-26 23:26:57,user_029,user-service,307.91
2025-10-27 01:13:57,user_001,auth-service,8.73
2025-10-27 06:47:57,user_015,payment-service,263.66
2025-10-27 01:48:57,user_037,payment-service,55.92
2025-10-27 01:53:57,user_044,payment-service,184.44
2025-10-26 18:41:57,user_017,payment-service,366.59
2025-10-27 07:13:57,user_004,notification-service,43.81
2025-10-27 13:39:57,user_004,notification-service,320.88
2025-10-27 05:41:57,user_018,payment-service,36.17
2025-10-27 13:44:57,user_032,user-service,298.79
2025-10-27 02:06:57,user_003,user-service,295.21
2025-10-27 11:29:57,user_019,user-service,461.81
2025-10-27 11:44:57,user_008,notification-service,264.93
2025-10-26 17:13:57,user_027,payment-service,129.72
2025-10-27 14:39:57,user_013,user-service,155.76
2025-10-27 08:18:57,user_025,auth-service,119.81
2025-10-27 14:14:57,user_019,auth-service,443.34
2025-10-27 10:53:57,user_027,auth-service,392.19
2025-10-27 03:47:57,user_015,auth-service,167.59
2025-10-27 05:48:57,user_043,payment-service,483.61
2025-10-26 23:31:57,user_045,auth-service,430.0
2025-10-27 00:45:57,user_040,auth-service,415.88
2025-10-27 13:52:57,user_030,payment-service,182.72
2025-10-27 03:03:57,user_050,payment-service,52.78
2025-10-27 14:24:57,user_029,payment-service,303.02
2025-10-27 09:13:57,user_002,notification-service,189.32
2025-10-27 01:51:57,user_012,notification-service,277.19
2025-10-27 06:51:57,user_022,auth-service,392.41
2025-10-26 19:07:57,user_003,user-service,427.66
2025-10-27 03:39:57,user_049,payment-service,66.8
2025-10-26 18:49:57,user_028,user-service,314.02
2025-10-27 07:45:57,user_014,user-service,306.14
2025-10-27 01:35:57,user_006,auth-service,361.27
2025-10-27 10:10:57,user_028,notification-service,387.47
2025-10-27 04:51:57,user_009,payment-service,168.45
2025-10-26 21:35:57,user_023,notification-service,398.59
2025-10-26 20:17:57,user_014,notification-service,176.88
2025-10-27 09:12:57,user_046,payment-service,481.47
2025-10-27 14:02:57,user_047,notification-service,241.56
2025-10-27 04:16:57,user_013,notification-service,313.51
2025-10-27 14:59:57,user_029,payment-service,67.46
2025-10-27 11:50:57,user_036,auth-service,183.84
2025-10-26 19:01:57,user_035,auth-service,368.8
2025-10-27 03:26:57,user_033,payment-service,90.35
2025-10-27 14:48:57,user_014,user-service,30.06
2025-10-26 15:54:57,user_032,payment-service,274.59
2025-10-27 11:48:57,user_011,auth-service,432.13
2025-10-26 20:11:57,user_047,user-service,186.0
2025-10-26 16:10:57,user_042,payment-service,242.52
2025-10-27 02:40:57,user_049,payment-service,171.61
2025-10-27 06:39:57,user_015,auth-service,267.93
2025-10-27 12:38:57,user_009,user-service,217.47
2025-10-26 18:19:57,user_047,auth-service,431.01
2025-10-27 09:20:57,user_008,notification-service,407.47
2025-10-27 11:39:57,user_016,payment-service,209.29
2025-10-27 11:16:57,user_036,user-service,180.55
2025-10-26 18:42:57,user_049,payment-service,260.31
2025-10-27 06:01:57,user_007,user-service,152.58
2025-10-26 17:30:57,user_004,payment-service,498.83
2025-10-26 22:34:57,user_015,payment-service,408.21
2025-10-26 19:02:57,user_006,auth-service,281.72
2025-10-27 06:05:57,user_016,auth-service,35.64
2025-10-26 17:41:57,user_037,user-service,143.7
2025-10-27 04:06:57,user_029,payment-service,214.35
2025-10-26 17:13:57,user_044,auth-service,292.11
2025-10-27 06:41:57,user_009,auth-service,352.87
2025-10-26 20:50:57,user_038,notification-service,479.52
2025-10-27 04:42:57,user_040,notification-service,367.64
2025-10-26 18:55:57,user_030,notification-service,112.34
2025-10-27 07:46:57,user_043,notification-service,37.01
2025-10-27 04:16:57,user_013,auth-service,327.95
2025-10-26 20:17:57,user_046,payment-service,212.91
2025-10-26 17:51:57,user_012,payment-service,199.94
2025-10-27 07:33:57,user_032,user-service,436.29
2025-10-27 10:04:57,user_025,notification-service,462.08
2025-10-26 21:16:57,user_015,notification-service,132.53
2025-10-27 14:53:57,user_043,payment-service,146.17
2025-10-27 07:08:57,user_027,notification-service,492.65
2025-10-27 10:27:57,user_001,payment-service,432.73
2025-10-26 21:34:57,user_024,notification-service,30.65
2025-10-26 20:28:57,user_032,auth-service,184.32
2025-10-26 20:34:57,user_050,auth-service,345.18
